"filename", "language", "Markdown", "JSON", "YAML", "Go Checksum File", "Go", "JavaScript", "HTML", "Go Module File", "TypeScript", "TypeScript JSX", "SCSS", "Ignore", "JSON with Comments", "Properties", "XML", "comment", "blank", "total"
"/home/server/NovexPanel/frontend/src/Pages/ServerPage/Deploy/DeploymentDetailPage/DeploymentDetailPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 344, 0, 0, 0, 0, 0, 60, 404
"/home/server/NovexPanel/frontend/src/Pages/ServerPage/Deploy/DeploymentDetailPage/DeploymentDetailPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 508, 0, 0, 0, 0, 0, 40, 21, 569
"/home/server/NovexPanel/frontend/src/Pages/ServerPage/Deploy/DeploymentsPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 508, 0, 0, 0, 0, 24, 94, 626
"/home/server/NovexPanel/frontend/src/Pages/ServerPage/Deploy/DeploymentsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 341, 0, 0, 0, 0, 0, 19, 16, 376
"/home/server/NovexPanel/frontend/src/Pages/ServerPage/Deploy/DeploymentsPage/Deploy.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 444, 0, 0, 0, 0, 0, 75, 519
"/home/server/NovexPanel/frontend/src/Pages/ServerPage/Deploy/DeploymentsPage/Deploy.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 294, 0, 0, 0, 0, 0, 2, 12, 308
"/home/server/NovexPanel/frontend/src/Pages/ServerPage/Files/FilesPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 226, 0, 0, 0, 0, 0, 33, 259
"/home/server/NovexPanel/frontend/src/Pages/ServerPage/Files/FilesPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 398, 0, 0, 0, 0, 0, 0, 27, 425
"/home/server/NovexPanel/frontend/src/Pages/ServerPage/Metrics/MetricsPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 405, 0, 0, 0, 0, 0, 72, 477
"/home/server/NovexPanel/frontend/src/Pages/ServerPage/Metrics/MetricsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 579, 0, 0, 0, 0, 0, 0, 53, 632
